71630143,71630346,2,#ff0000
71630608,71630638,42,#ff0000
71630783,71630951,53,#ff0000
71631105,71631287,98,#ff0000
71631448,71631484,82,#ff0000
71631764,71631840,64,#ff0000
71631979,71632257,97,#ff0000
71632378,71632517,49,#ff0000
71632680,71632969,81,#ff0000
71633193,71633346,7,#ff0000
71633571,71633677,22,#ff0000
71633946,71633978,19,#ff0000
71634178,71634381,72,#ff0000
71634670,71634714,56,#ff0000
71634987,71635213,41,#ff0000
71635468,71635507,82,#ff0000
71635783,71636076,87,#ff0000
71636236,71636533,6,#ff0000
71636830,71637118,57,#ff0000
71637388,71637663,43,#ff0000
71637909,71638092,7,#ff0000
71638221,71638510,100,#ff0000
71638804,71638889,76,#ff0000
71639095,71639332,80,#ff0000
71639603,71639631,84,#00ff00
71639806,71640046,3,#ff0000
71640240,71640481,68,#ff0000
71640661,71640818,72,#00ff00
71641114,71641126,47,#ff0000
71641392,71641459,56,#00ff00
71641739,71641986,7,#ff0000
71642090,71642115,98,#ff0000
71642246,71642491,31,#ff0000
71642680,71642902,50,#ff0000
71643184,71643322,69,#ff0000
71643523,71643644,1,#ff0000
71643751,71643977,24,#ff0000
71644192,71644264,14,#ff0000
71644507,71644716,30,#ff0000
71644879,71645061,61,#ff0000
71645224,71645407,48,#ff0000
71645578,71645798,44,#ff0000
71645987,71646263,88,#ff0000
71646418,71646421,36,#ff0000
71646579,71646700,51,#ff0000
71646803,71646995,80,#ff0000
71647212,71647396,91,#ff0000
71647693,71647969,53,#ff0000
71648182,71648409,24,#ff0000
71648509,71648613,75,#ff0ff0
71648831,71648898,86,#ff0000
71649041,71649070,21,#ff0ff0
71649341,71649547,41,#ff0000
71649711,71649973,4,#ff0000
71650234,71650311,10,#ff0000
71650575,71650795,2,#ff0000
71650986,71651021,38,#ff0000
71651245,71651400,62,#ff0000
71651566,71651724,81,#ff0000
71651902,71652110,15,#ff0000
71652409,71652433,93,#ff0000
71652589,71652801,37,#ff0000
71653076,71653153,99,#ff0000
71653452,71653554,6,#ff0000
71653719,71653812,22,#ff0000
71653977,71654090,84,#ff0000
71654360,71654440,70,#ff0000
71654721,71654747,51,#ff0000
71654912,71655143,94,#ff0000
71655379,71655523,7,#ff0000
71655671,71655906,29,#ff0000
71656033,71656270,68,#ff0000
71656521,71656697,38,#ff0000
71656853,71657009,73,#ff0000
71657250,71657348,16,#ff0000
71657564,71657734,50,#ff0000
71657965,71658111,2,#ff0000
71658232,71658305,66,#ff0000
71658564,71658570,2,#ff0000
71658790,71658804,31,#ff0000
71659098,71659282,87,#ff0000
71659385,71659661,82,#ff0000
71659780,71659852,41,#ff0000
71659990,71660191,63,#ff0000
71660421,71660592,50,#ff0000
71660759,71660992,64,#ff0000
71661104,71661237,67,#ff0000
71661444,71661687,72,#ff0000
71661972,71662066,30,#ff0000
71662269,71662330,88,#ff0000
71662545,71662586,19,#ff0000
71662690,71662805,92,#ff0000
71662952,71663117,67,#ff0000
71663306,71663312,16,#ff0000
71663577,71663597,35,#ff0000
71663895,71664035,4,#ff0000
71664273,71664563,84,#ff0000
71664841,71664908,93,#ff0000
71665129,71665136,38,#ff0000
71665326,71665356,68,#ff0000
71665624,71665627,37,#ff0000
71665919,71665928,59,#ff0000
71666218,71666259,34,#ff0000
71666393,71666655,73,#ff0000
71666792,71667026,62,#ff0000
71667189,71667436,82,#ff0000
71667557,71667825,61,#ff0000
71668038,71668315,55,#ff0000
71668560,71668841,36,#ff0000
71669038,71669161,28,#ff0000
71669354,71669578,33,#ff0000
71669722,71669956,12,#ff0000
71670172,71670203,37,#ff0000
71670326,71670457,6,#ff0000
71670664,71670818,75,#ff0000
71670937,71671054,55,#ff0000
71671191,71671377,67,#ff0000
71671550,71671680,96,#ff0000
71671915,71672011,21,#ff0000
71672119,71672226,70,#ff0000
71672427,71672479,22,#ff0000
71672595,71672778,36,#ff0000
71672989,71673045,28,#ff0000
71673167,71673301,15,#ff0000
71673527,71673792,5,#ff0000
71674076,71674134,67,#ff0000
71674256,71674372,85,#ff0000
71674494,71674577,7,#ff0000
71674705,71674903,76,#ff0000
71675052,71675339,57,#ff0000
71675447,71675558,96,#ff0000
71675736,71675909,5,#ff0000
71676038,71676167,98,#ff0000
71676383,71676649,80,#ff0000
71676805,71676880,35,#ff0000
71677034,71677314,83,#ff0000
71677463,71677524,23,#ff0000
71677733,71678025,66,#ff0000
71678267,71678405,84,#ff0000
71678634,71678735,55,#ff0000
71679007,71679302,15,#ff0000
71679489,71679611,17,#ff0000
71679733,71680013,85,#ff0000
71680306,71680471,10,#ff0000
71680636,71680649,22,#ff0000
71680814,71680879,16,#ff0000
71681167,71681352,52,#ff0000
71681553,71681802,72,#ff0000
71681934,71682090,19,#ff0000
71682362,71682570,75,#ff0000
71682670,71682824,83,#ff0000
71683066,71683319,55,#ff0000
71683462,71683654,36,#ff0000
71683782,71684024,13,#ff0000
71684250,71684318,78,#ff0000
71684573,71684658,5,#ff0000
71684837,71685025,58,#ff0000
71685220,71685252,6,#ff0000
71685434,71685662,15,#ff0000
71685864,71685988,28,#ff0000
71686128,71686235,44,#ff0000
71686437,71686525,19,#ff0000
71686780,71687017,82,#ff0000
71687178,71687222,45,#ff0000
71687479,71687778,55,#ff0000
71687965,71688146,87,#ff0000
71688300,71688362,66,#ff0000
71688611,71688729,70,#ff0000
71688926,71689118,74,#ff0000
71689289,71689487,12,#ff0000
71689708,71689812,50,#ff0000
71690040,71690095,70,#ff0000
71690291,71690406,0,#ff0000
71690641,71690747,67,#ff0000
71690852,71691087,17,#ff0000
71691245,71691301,75,#ff0000
71691548,71691832,69,#ff0000
71692066,71692266,95,#ff0000
71692442,71692569,20,#00ff00
71692721,71692883,21,#ff0000
71693023,71693079,38,#ff0000
71693375,71693591,60,#00ff00
71693734,71693862,6,#ff0000
71694000,71694020,32,#ff0000
71694219,71694735,100,#007200
71694976,71695179,21,#ff0000
